"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
153,"AKIC","Sports Ventures Acquisition Corp.","Financial","Shell Companies","USA",290.87,58.81,9.88,0.20%,110
154,"AKR","Acadia Realty Trust","Real Estate","REIT - Retail","USA",2032.84,83.26,21.73,2.31%,698839
155,"AKRO","Akero Therapeutics, Inc.","Healthcare","Biotechnology","USA",492.84,,14.31,-8.27%,144470
156,"AKTS","Akoustis Technologies, Inc.","Technology","Communication Equipment","USA",348.58,,6.66,-4.58%,641606
157,"AKYA","Akoya Biosciences, Inc.","Healthcare","Medical Instruments & Supplies","USA",412.92,,11.02,-3.16%,23443
158,"AL","Air Lease Corporation","Industrials","Rental & Leasing Services","USA",5025.17,12.53,44.70,2.01%,1077290
159,"ALB","Albemarle Corporation","Basic Materials","Specialty Chemicals","USA",25224.05,203.54,217.58,1.60%,836339
160,"ALBO","Albireo Pharma, Inc.","Healthcare","Biotechnology","USA",593.60,,30.01,-1.86%,100378
161,"ALC","Alcon Inc.","Healthcare","Medical Instruments & Supplies","Switzerland",37379.93,114.01,76.27,0.17%,358843
162,"ALCC","AltC Acquisition Corp.","Financial","Shell Companies","USA",503.70,,9.79,0.31%,1980
163,"ALCO","Alico, Inc.","Consumer Defensive","Farm Products","USA",268.54,6.53,35.71,2.67%,38377
164,"ALE","ALLETE, Inc.","Utilities","Utilities - Diversified","USA",3586.89,20.56,66.13,1.68%,209397
165,"ALEC","Alector, Inc.","Healthcare","Biotechnology","USA",1118.29,,14.48,-4.61%,371761
166,"ALEX","Alexander & Baldwin, Inc.","Real Estate","REIT - Diversified","USA",1679.70,45.88,22.85,0.71%,410183
167,"ALGM","Allegro MicroSystems, Inc.","Technology","Semiconductors","USA",5306.97,54.54,29.18,-0.48%,420278
168,"ALGN","Align Technology, Inc.","Healthcare","Medical Devices","USA",32584.31,44.41,430.44,-1.33%,678948
169,"ALGT","Allegiant Travel Company","Industrials","Airlines","USA",2824.92,18.37,156.94,1.36%,280744
170,"ALHC","Alignment Healthcare, Inc.","Healthcare","Healthcare Plans","USA",1883.28,,10.55,-3.74%,224506
171,"ALIT","Alight, Inc.","Technology","Software - Application","USA",5425.82,,10.04,0.20%,1867882
172,"ALK","Alaska Air Group, Inc.","Industrials","Airlines","USA",7118.54,15.81,57.44,2.68%,2196399
173,"ALKS","Alkermes plc","Healthcare","Biotechnology","Ireland",4403.61,,27.43,3.24%,1213480
174,"ALKT","Alkami Technology, Inc.","Technology","Software - Application","USA",1220.89,,13.80,-1.43%,299195
175,"ALL","The Allstate Corporation","Financial","Insurance - Property & Casualty","USA",38707.15,8.41,141.80,2.20%,1897889
176,"ALLE","Allegion plc","Industrials","Security & Protection Services","Ireland",9879.03,21.04,112.30,-0.26%,521392
177,"ALLK","Allakos Inc.","Healthcare","Biotechnology","USA",308.25,,5.72,-4.03%,631384
178,"ALLO","Allogene Therapeutics, Inc.","Healthcare","Biotechnology","USA",1270.33,,9.65,-2.82%,657460
179,"ALLT","Allot Ltd.","Technology","Communication Equipment","Israel",302.89,,8.09,-1.70%,117993
180,"ALLY","Ally Financial Inc.","Financial","Credit Services","USA",14591.27,5.35,44.83,0.13%,2913691
181,"ALNY","Alnylam Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",19432.78,,163.81,0.07%,540187
182,"ALPN","Alpine Immune Sciences, Inc.","Healthcare","Biotechnology","USA",277.15,,9.66,1.36%,129078
183,"ALRM","Alarm.com Holdings, Inc.","Technology","Software - Application","USA",3199.05,64.74,65.26,-1.84%,212871
184,"ALSN","Allison Transmission Holdings, Inc.","Consumer Cyclical","Auto Parts","USA",4034.79,9.94,41.10,3.16%,786422
185,"ALT","Altimmune, Inc.","Healthcare","Biotechnology","USA",270.04,,6.39,-5.75%,572542
186,"ALTG","Alta Equipment Group Inc.","Industrials","Rental & Leasing Services","USA",393.82,,12.20,-0.65%,64983
187,"ALTL","Pacer Lunt Large Cap Alternator ETF","Financial","Exchange Traded Fund","USA",,,44.97,-0.20%,117802
188,"ALTO","Alto Ingredients, Inc.","Basic Materials","Specialty Chemicals","USA",539.70,,7.00,2.19%,4149564
189,"ALTR","Altair Engineering Inc.","Technology","Software - Infrastructure","USA",4831.63,,62.40,-2.26%,106276
190,"ALTU","Altitude Acquisition Corp.","Financial","Shell Companies","USA",373.52,,9.95,0.10%,84465
191,"ALV","Autoliv, Inc.","Consumer Cyclical","Auto Parts","Sweden",6653.12,15.41,76.64,-1.07%,830877
192,"ALVR","AlloVir, Inc.","Healthcare","Biotechnology","USA",487.13,,7.57,-5.49%,109794
193,"ALXO","ALX Oncology Holdings Inc.","Healthcare","Biotechnology","USA",692.87,,17.95,-4.88%,399296
194,"AM","Antero Midstream Corporation","Energy","Oil & Gas Midstream","USA",5403.17,16.65,11.49,6.49%,5615591
195,"AMAT","Applied Materials, Inc.","Technology","Semiconductor Equipment & Materials","USA",118255.37,19.07,137.06,-1.10%,6073954
196,"AMBA","Ambarella, Inc.","Technology","Semiconductor Equipment & Materials","USA",3391.71,,95.38,-3.16%,651631
197,"AMBC","Ambac Financial Group, Inc.","Financial","Insurance - Specialty","USA",522.56,,8.74,2.34%,1099419
198,"AMBP","Ardagh Metal Packaging S.A.","Consumer Cyclical","Packaging & Containers","Luxembourg",4999.88,,8.52,2.04%,1106615
199,"AMC","AMC Entertainment Holdings, Inc.","Communication Services","Entertainment","USA",10055.84,,20.24,0.05%,71600906
200,"AMCR","Amcor plc","Consumer Cyclical","Packaging & Containers","Switzerland",17077.47,18.41,11.34,0.53%,7170498
201,"AMCX","AMC Networks Inc.","Communication Services","Broadcasting","USA",1787.59,7.33,42.35,2.22%,416049
202,"AMD","Advanced Micro Devices, Inc.","Technology","Semiconductors","USA",191708.94,46.49,119.67,-0.71%,95787916
203,"AME","AMETEK, Inc.","Industrials","Specialty Industrial Machinery","USA",30414.28,31.41,133.56,0.80%,799012
204,"AMED","Amedisys, Inc.","Healthcare","Medical Care Facilities","USA",5327.95,26.14,165.67,-1.06%,219033
205,"AMEH","Apollo Medical Holdings, Inc.","Healthcare","Medical Care Facilities","USA",2758.66,29.59,47.96,-3.17%,196322
206,"AMG","Affiliated Managers Group, Inc.","Financial","Asset Management","USA",5787.52,11.34,143.22,1.82%,172756
207,"AMGN","Amgen Inc.","Healthcare","Drug Manufacturers - General","USA",132793.50,23.16,238.79,0.81%,1424354
208,"AMH","American Homes 4 Rent","Real Estate","REIT - Residential","USA",13492.50,95.27,39.06,1.48%,1185011
209,"AMJ","JPMorgan Alerian MLP Index ETN","Financial","Exchange Traded Fund","USA",,,21.02,1.35%,573591
210,"AMK","AssetMark Financial Holdings, Inc.","Financial","Asset Management","USA",1653.87,66.42,22.98,0.88%,32901
211,"AMKR","Amkor Technology, Inc.","Technology","Semiconductors","USA",5758.99,9.14,23.93,0.72%,631789
212,"AMLP","Alerian MLP ETF","Financial","Exchange Traded Fund","USA",,,38.59,1.45%,2242459
213,"AMLX","Amylyx Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",1419.75,,25.00,15.15%,1908880
214,"AMN","AMN Healthcare Services, Inc.","Healthcare","Medical Care Facilities","USA",4826.20,15.01,102.25,-1.18%,435644
215,"AMP","Ameriprise Financial, Inc.","Financial","Asset Management","USA",34738.30,13.63,314.63,0.93%,706678
216,"AMPH","Amphastar Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic","USA",1752.40,29.29,36.44,1.87%,330964
217,"AMPL","Amplitude, Inc.","Technology","Software - Application","USA",1874.41,,17.02,-4.38%,1090169
218,"AMPS","Altus Power, Inc.","Utilities","Utilities - Renewable","USA",1154.12,,6.93,-11.15%,1154043
219,"AMPY","Amplify Energy Corp.","Energy","Oil & Gas E&P","USA",251.52,,6.31,0.00%,753328
220,"AMR","Alpha Metallurgical Resources, Inc.","Basic Materials","Coking Coal","USA",2337.46,8.84,132.06,0.93%,242019
221,"AMRC","Ameresco, Inc.","Industrials","Engineering & Construction","USA",4254.70,61.87,82.97,-0.53%,380115
222,"AMRK","A-Mark Precious Metals, Inc.","Financial","Capital Markets","USA",904.37,4.44,79.40,-0.76%,69080
223,"AMSC","American Superconductor Corporation","Industrials","Specialty Industrial Machinery","USA",235.47,,8.47,-3.31%,283645
224,"AMSF","AMERISAFE, Inc.","Financial","Insurance - Specialty","USA",959.12,14.75,49.98,1.19%,100308
225,"AMSWA","American Software, Inc.","Technology","Software - Application","USA",644.88,58.16,20.59,-1.81%,91487
226,"AMT","American Tower Corporation","Real Estate","REIT - Specialty","USA",110907.55,42.46,240.69,2.21%,1530158
227,"AMTB","Amerant Bancorp Inc.","Financial","Banks - Regional","USA",1144.81,10.65,32.23,2.09%,77014
228,"AMTI","Applied Molecular Transport Inc.","Healthcare","Biotechnology","USA",268.21,,7.16,-5.91%,149406
229,"AMTX","Aemetis, Inc.","Energy","Oil & Gas Refining & Marketing","USA",420.59,,12.01,7.04%,1104135
230,"AMWD","American Woodmark Corporation","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",824.65,,50.07,-1.16%,145296
